"Time","Warmtenet","Warmtepomp","Waterzuivering","Vacuum","Laadpalen","Overig","Total","Total for simulation","Total measured"
2024-01-01 00:00:00,1693.333,200.000,12113.333,1013.333,0,180.000,15200.000,14820.000,17866.667
2024-01-01 00:15:00,1780.000,200.000,11733.333,2173.333,0,206.667,16093.333,15686.667,18406.667
2024-01-01 00:30:00,1786.667,200.000,11940.000,660.000,0,100.000,14686.667,14386.667,17266.667
2024-01-01 00:45:00,1771.429,200.000,12014.286,1057.143,0,335.714,15378.571,14842.857,17464.286
2024-01-01 01:00:00,1740.000,200.000,11693.333,1233.333,0,226.667,15093.333,14666.667,17586.667
2024-01-01 01:15:00,1700.000,200.000,11593.333,986.667,0,293.333,14773.333,14280.000,17306.667
2024-01-01 01:30:00,1620.000,200.000,11686.667,1206.667,0,100.000,14813.333,14513.333,17313.333
2024-01-01 01:45:00,1593.333,200.000,11773.333,1046.667,280.000,213.333,15106.667,14693.333,17306.667
2024-01-01 02:00:00,1640.000,200.000,11706.667,1200.000,9926.667,100.000,24773.333,24473.333,27326.667
2024-01-01 02:15:00,1660.000,200.000,11746.667,1200.000,10500.000,213.333,25520.000,25106.667,28066.667
2024-01-01 02:30:00,1833.333,200.000,11820.000,1200.000,10500.000,100.000,25653.333,25353.333,28206.667
2024-01-01 02:45:00,1946.667,200.000,11773.333,646.667,10666.667,186.667,25420.000,25033.333,27906.667
2024-01-01 03:00:00,1866.667,200.000,11780.000,6680.000,10500.000,100.000,31126.667,30826.667,33846.667
2024-01-01 03:15:00,1880.000,200.000,12160.000,4513.333,11980.000,346.667,31080.000,30533.333,32926.667
2024-01-01 03:30:00,1913.333,200.000,11673.333,100.000,10500.000,160.000,24546.667,24186.667,27186.667
2024-01-01 03:45:00,1793.333,200.000,11673.333,1166.667,10500.000,140.000,25473.333,25133.333,28106.667
2024-01-01 04:00:00,1620.000,200.000,11793.333,1160.000,10666.667,113.333,25553.333,25240.000,28206.667
2024-01-01 04:15:00,1606.667,200.000,11606.667,633.333,10500.000,180.000,24726.667,24346.667,27720.000
2024-01-01 04:30:00,1840.000,200.000,11593.333,633.333,10540.000,100.000,24906.667,24606.667,27573.333
2024-01-01 04:45:00,1680.000,200.000,11906.667,1166.667,10580.000,273.333,25806.667,25333.333,28446.667
2024-01-01 05:00:00,1780.000,200.000,11533.333,1160.000,10520.000,100.000,25293.333,24993.333,27946.667
2024-01-01 05:15:00,1806.667,233.333,11620.000,640.000,10580.000,186.667,25066.667,24646.667,27600.000
2024-01-01 05:30:00,1860.000,220.000,11746.667,640.000,10540.000,100.000,25106.667,24786.667,27773.333
2024-01-01 05:45:00,1886.667,206.667,11713.333,640.000,10500.000,213.333,25160.000,24740.000,27866.667
2024-01-01 06:00:00,2266.667,200.000,11653.333,640.000,10666.667,220.000,25646.667,25226.667,27666.667
2024-01-01 06:15:00,2253.333,200.000,10273.333,646.667,6166.667,506.667,20046.667,19340.000,22186.667
2024-01-01 06:30:00,2180.000,200.000,9513.333,1200.000,4000.000,300.000,17393.333,16893.333,19466.667
2024-01-01 06:45:00,2266.667,200.000,9453.333,646.667,4000.000,226.667,16793.333,16366.667,18906.667
2024-01-01 07:00:00,2360.000,200.000,9466.667,1206.667,4000.000,100.000,17333.333,17033.333,19466.667
2024-01-01 07:15:00,2866.667,200.000,9800.000,646.667,6766.667,360.000,20640.000,20080.000,22726.667
2024-01-01 07:30:00,2860.000,200.000,9420.000,1193.333,7000.000,220.000,20893.333,20473.333,22793.333
2024-01-01 07:45:00,3400.000,200.000,9613.333,660.000,0,266.667,14140.000,13673.333,16053.333
2024-01-01 08:00:00,2940.000,200.000,9473.333,833.333,0,380.000,13826.667,13246.667,16073.333
2024-01-01 08:15:00,2993.333,200.000,9520.000,1153.333,0,433.333,14300.000,13666.667,16340.000
2024-01-01 08:30:00,3093.333,200.000,9526.667,1580.000,0,333.333,14733.333,14200.000,16393.333
2024-01-01 08:45:00,3300.000,200.000,9460.000,1200.000,0,353.333,14513.333,13960.000,16533.333
2024-01-01 09:00:00,2713.333,200.000,11413.333,1193.333,0,773.333,16293.333,15320.000,18733.333
2024-01-01 09:15:00,2573.333,200.000,14426.667,660.000,0,1040.000,18900.000,17660.000,21880.000
2024-01-01 09:30:00,2806.667,200.000,14800.000,646.667,0,966.667,19420.000,18253.333,22420.000
2024-01-01 09:45:00,2980.000,200.000,12013.333,1200.000,0,400.000,16793.333,16193.333,19233.333
2024-01-01 10:00:00,2940.000,200.000,14233.333,1440.000,0,280.000,19093.333,18613.333,21853.333
2024-01-01 10:15:00,2706.667,200.000,16140.000,960.000,0,253.333,20260.000,19806.667,23740.000
